,comment_text,suspected_fallacy
76,Is it any surprise that climate-change predictions in the real world — where the complexities are exponentially greater and the exactitude of knowledge much less — have such a poor track record ?,hasty_generalization
77,"The impact of humans on Earth is unparalleled , with scientists arguing our actions have tipped the planet into a new era - the Anthropocene - with fallout from nuclear bombs now written into the rocks beneath our feet , and species facing extinction at 1,000 times the usual rate .",hasty_generalization
78,Yet other scientists claim this is a red herring because of the positive feedback loop created by water vapour .,hasty_generalization
79,"The MWP lasted from about 950 to 1250AD , and temperature records appear to show it was even hotter than today , allowing grain crops to flourish , the global population to soar and wine grapes to be planted in England for the first time in hundreds of years .",hasty_generalization
80,"Skeptics claim such anomalies prove that Earth can quickly warm and cool even in the absence of carbon dioxide , and any warming today may be caused by similar natural events .",hasty_generalization
81,"As we have already seen , during this time , the Northern Hemisphere experienced ‘ The Little Ice Age ’ where crops failed and plague wiped out tens of millions of people showing a clear correlation between solar activity and temperature on Earth . Likewise , there was also high solar activity during the Medieval Warm Period .",hasty_generalization
82,"Some scientists believe that solar activity is more likely to influence today ’ s climate than carbon dioxide , and Dr Soon has compiled data showing temperature in America , Canada and Mexico rises and falls in line with solar activity .",hasty_generalization
83,"But it is almost certain that next year , large falls will also be measured over the oceans , and by weather station thermometers on the surface of the planet – exactly as happened after the end of the last very strong El Nino in 1998 .",hasty_generalization
84,"Whitehouse , a scientist who works with Lord Lawson ’ s sceptic Global Warming Policy Foundation , said the massive fall in temperatures following the end of El Nino meant the warming hiatus or slowdown may be coming back .",hasty_generalization
85,"Others have argued that the records were caused by El Nino , a complex natural phenomenon that takes place every few years , and has nothing to do with greenhouse gas emissions by humans .",hasty_generalization
86,A synthesis of more than 350 publications on the effects of ocean acidification - which will be given to climate delegates at next month 's summit - reveals that almost half of the marine animal species tested reacted negatively to already moderate increases in seawater CO2 concentrations .,hasty_generalization
87,"In the past , warming has never been a threat to life on Earth . Why should it be now ?",hasty_generalization
88,"More food for seals in summer means more fat seal pups for polar bears to eat the following spring , a result that ’ s probably true throughout the Arctic . As long as polar bears have lots of baby seals to eat in spring , they get fat enough to survive even a longer-than-usual summer fast .",hasty_generalization
89,Some cancers induce a muscle-wasting syndrome that leads to faster-than-usual weight loss . This is likely what happened to the emaciated Baffin Island bear captured on video in July 2017 and promoted by National Geographic late last year .,hasty_generalization
90,This is likely what happened to the emaciated Baffin Island bear captured on video in July 2017 and promoted by National Geographic late last year .,hasty_generalization
91,"This trajectory would smash critical environmental limits beyond which humanity will struggle to live , the new research indicates . “",hasty_generalization
92,A new National Academies study suggests that ‘ heat waves ’ may be one of the primary climate change markers like home runs were in baseball . ”,hasty_generalization
93,"They may not have science on their side , but those who claim either that climate change is n't real or say it 's not a big problem have a lot of money and media platforms .",hasty_generalization
94,The sea has crept up to the point that a high tide and a brisk wind are all it takes to send water pouring into streets and homes .,hasty_generalization
95,"It ’ s a slow , gradual attack , but it threatens the safety and security of the United States . ”",hasty_generalization
96,"It ’ s a slow , gradual attack , but it threatens the safety and security of the United States . ”",hasty_generalization
97,"“ When we distract our military with a radical climate change agenda , we detract from their main purpose of defending America from enemies ” like the Islamic State , said Mr. Buck of Colorado , the Republican congressman who sponsored the measure .",hasty_generalization
98,"A rise that large over a span of decades would be an unparalleled national catastrophe , driving millions of people from their homes and most likely requiring the abandonment of entire cities .",hasty_generalization
99,"But now it turns out the Arctic sea ice is thicker than ever and , oh yeah , the global temperature trend has not warmed for 19 years .",hasty_generalization
